Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_82,1417,0,470,482.3394495412844,78,3222,113.61679604798871,4.729964174504911,0.0,470,560,620,660,810,950,1200,1600,2800,3200,3200
GET,/get/key_83,1473,0,490,490.6748133061779,78,2980,113.62118126272912,4.916892892763397,0.0,490,580,650,700,800,970,1200,1300,2000,3000,3000
GET,/get/key_84,1399,0,490,492.6997855611151,77,2927,114.71265189421015,4.669879943636112,0.0,490,590,650,690,810,960,1200,1500,2300,2900,2900
GET,/get/key_85,1456,1,490,484.4546703296703,41,2078,114.6614010989011,4.860146674720642,0.0033380128260443974,490,560,630,680,800,940,1100,1400,2000,2100,2100
GET,/get/key_86,1440,0,490,494.3152777777778,76,3579,114.65833333333333,4.806738469503932,0.0,490,580,640,680,810,980,1200,1500,2500,3600,3600
GET,/get/key_87,1482,0,470,481.889338731444,78,2742,114.72064777327935,4.946935008197797,0.0,470,560,620,680,810,960,1200,1600,2700,2700,2700
GET,/get/key_88,1486,0,490,482.06325706594885,78,3427,114.68102288021534,4.960287059501974,0.0,490,560,620,670,790,930,1100,1500,2000,3400,3400
GET,/get/key_89,1459,0,480,479.51542152159016,76,2647,115.485949280329,4.870160713198776,0.0,480,560,630,680,800,950,1100,1400,2500,2600,2600
GET,/get/key_9,1422,0,470,477.8122362869198,79,2192,113.5309423347398,4.746654238635133,0.0,470,560,620,670,800,950,1200,1500,2100,2200,2200
GET,/get/key_90,1419,1,490,494.6229739252995,39,2976,115.44397463002115,4.736640200157,0.0033380128260443974,490,580,640,680,820,970,1200,1500,2300,3000,3000
GET,/get/key_91,1428,0,470,478.3375350140056,77,2115,114.65546218487395,4.7666823155913995,0.0,470,560,620,680,800,920,1100,1300,2000,2100,2100
GET,/get/key_92,1400,0,480,476.1092857142857,80,2259,114.715,4.673217956462156,0.0,480,570,630,670,790,930,1100,1300,2200,2300,2300
GET,/get/key_93,1536,0,470,472.2174479166667,78,2263,114.52799479166667,5.127187700804194,0.0,470,560,620,670,780,950,1100,1400,2200,2300,2300
GET,/get/key_94,1439,0,480,484.1306462821404,78,3482,115.4864489228631,4.803400456677887,0.0,480,570,620,680,810,960,1100,1400,2300,3500,3500
GET,/get/key_95,1490,0,500,498.09530201342284,77,2493,114.53087248322147,4.973639110806152,0.0,500,590,650,690,810,960,1100,1500,2400,2500,2500
GET,/get/key_96,1445,0,470,465.2186851211073,79,3293,114.64636678200692,4.8234285336341545,0.0,470,570,620,670,780,920,1100,1300,2000,3300,3300
GET,/get/key_97,1472,0,480,476.3322010869565,78,2169,115.51086956521739,4.913554879937353,0.0,480,570,630,660,790,940,1100,1300,2000,2200,2200
GET,/get/key_98,1442,0,460,471.00346740638,80,2707,114.51803051317614,4.813414495156021,0.0,460,560,620,670,800,930,1100,1300,2000,2700,2700
GET,/get/key_99,1399,1,490,502.0264474624732,40,2803,113.55325232308792,4.669879943636112,0.0033380128260443974,490,590,650,690,850,990,1200,1600,2700,2800,2800
PUT,set_key_0,1434,0,500,514.6659693165969,81,2822,246.35006973500697,4.786710392547666,0.0,500,600,670,710,860,990,1300,1500,2800,2800,2800
PUT,set_key_1,1388,0,520,548.4906340057637,82,2724,245.63760806916426,4.6331618025496235,0.0,520,640,700,750,920,1000,1300,1700,2700,2700,2700
PUT,set_key_10,1435,0,550,573.9602787456446,82,3498,250.58536585365854,4.79004840537371,0.0,550,650,720,770,920,1100,1400,1900,3000,3500,3500
PUT,set_key_100,1448,1,520,545.8024861878453,48,2740,254.35635359116023,4.833442572112287,0.0033380128260443974,520,610,690,740,920,1000,1300,1600,2700,2700,2700
PUT,set_key_11,1417,0,500,507.3952011291461,80,3500,250.94495412844037,4.729964174504911,0.0,500,590,660,710,840,970,1100,1400,3100,3500,3500
PUT,set_key_12,1371,0,520,545.5594456601021,80,3732,249.75784099197665,4.576415584506869,0.0,520,630,700,740,880,1000,1200,1700,2500,3700,3700
PUT,set_key_13,1438,0,500,524.9728789986092,79,3231,249.0278164116829,4.800062443851844,0.0,500,610,680,720,870,990,1200,1500,3000,3200,3200
PUT,set_key_14,1414,0,510,518.1082036775106,83,2533,250.24186704384724,4.719950136026778,0.0,510,600,680,730,870,1000,1200,1400,2400,2500,2500
PUT,set_key_15,1461,0,520,536.7837097878165,83,3201,250.73305954825463,4.876836738850865,0.0,520,630,700,740,880,980,1100,1300,3000,3200,3200
PUT,set_key_16,1419,0,520,533.7963354474982,83,2713,249.82663847780128,4.736640200157,0.0,520,620,690,730,850,980,1200,1400,2700,2700,2700
PUT,set_key_17,1442,0,500,502.77669902912623,80,2512,250.68238557558945,4.813414495156021,0.0,500,600,660,700,810,980,1200,1300,2200,2500,2500
PUT,set_key_18,1377,1,490,502.33115468409585,58,2247,250.6318082788671,4.596443661463135,0.0033380128260443974,490,600,660,700,860,1000,1100,1400,2100,2200,2200
PUT,set_key_19,1467,2,500,506.48057259713704,50,2072,250.48466257668713,4.896864815807131,0.006676025652088795,500,590,660,710,830,960,1200,1300,2000,2100,2100
PUT,set_key_2,1443,0,500,509.83437283437286,81,3287,246.33679833679832,4.8167525079820654,0.0,500,590,650,690,840,990,1100,1500,2400,3300,3300
PUT,set_key_20,1484,0,500,518.2958221024259,82,2948,250.31132075471697,4.953611033849886,0.0,500,600,670,720,870,1000,1300,1500,2700,2900,2900
PUT,set_key_21,1412,0,520,543.0162889518414,87,2707,250.58356940509915,4.713274110374689,0.0,520,620,700,750,900,1000,1200,1500,2200,2700,2700
PUT,set_key_22,1442,0,510,533.618585298197,81,2661,249.8862690707351,4.813414495156021,0.0,510,610,690,740,880,1000,1200,1500,2400,2700,2700
PUT,set_key_23,1363,0,500,519.5766691122524,80,2515,248.98459280997798,4.549711481898513,0.0,500,600,680,720,860,980,1200,1300,2500,2500,2500
PUT,set_key_24,1449,0,520,550.5134575569358,84,2293,250.59627329192546,4.836780584938332,0.0,520,630,710,750,900,1000,1300,1700,2300,2300,2300
PUT,set_key_25,1401,0,520,552.7644539614561,83,3443,250.69022127052105,4.6765559692882,0.0,520,630,690,740,910,1000,1300,1700,3200,3400,3400
PUT,set_key_26,1433,0,510,515.6796929518492,81,2598,250.24982554082345,4.783372379721621,0.0,510,610,680,720,850,980,1200,1400,2500,2600,2600
PUT,set_key_27,1454,1,500,512.0474552957359,59,4144,250.13204951856946,4.853470649068554,0.0033380128260443974,500,600,670,710,820,970,1100,1300,3200,4100,4100
PUT,set_key_28,1432,0,490,510.63058659217876,81,2820,249.14944134078212,4.780034366895577,0.0,490,590,670,720,860,970,1200,1500,2500,2800,2800
PUT,set_key_29,1449,0,500,510.6059351276743,82,2504,250.391994478951,4.836780584938332,0.0,500,600,680,710,850,990,1200,1300,2500,2500,2500
PUT,set_key_3,1388,0,510,535.8667146974063,85,2761,246.59942363112393,4.6331618025496235,0.0,510,610,680,750,890,1000,1200,1500,2600,2800,2800
PUT,set_key_30,1435,0,530,555.4564459930314,85,2768,250.43344947735193,4.79004840537371,0.0,530,630,700,750,910,1100,1400,1500,2500,2800,2800
PUT,set_key_31,1448,0,520,555.0814917127071,87,3405,250.6781767955801,4.833442572112287,0.0,520,640,720,770,920,1000,1300,1500,2600,3400,3400
PUT,set_key_32,1371,0,510,514.5368344274252,79,2490,249.25674690007293,4.576415584506869,0.0,510,610,670,710,840,990,1200,1500,2300,2500,2500
PUT,set_key_33,1545,0,530,552.3786407766991,82,2786,250.5022653721683,5.157229816238594,0.0,530,630,700,750,890,1000,1400,1600,2500,2800,2800
PUT,set_key_34,1463,0,510,531.7443609022556,79,2777,250.3568010936432,4.883512764502953,0.0,510,620,690,740,880,1000,1300,1600,2500,2800,2800
PUT,set_key_35,1436,1,530,551.1107242339833,61,2991,250.36629526462394,4.793386418199755,0.0033380128260443974,530,630,710,760,890,1000,1300,1500,2900,3000,3000
PUT,set_key_36,1408,0,510,522.2883522727273,80,2709,249.1349431818182,4.699922059070511,0.0,510,600,670,720,850,990,1200,1600,2500,2700,2700
PUT,set_key_37,1452,0,500,515.2093663911845,80,1994,250.4159779614325,4.846794623416465,0.0,500,610,670,720,880,990,1200,1500,1900,2000,2000
PUT,set_key_38,1408,0,500,511.95809659090907,79,3358,250.296875,4.699922059070511,0.0,500,590,670,720,850,990,1100,1400,2700,3400,3400
PUT,set_key_39,1523,0,490,517.0722258699934,81,2774,250.79908076165464,5.0837935340656175,0.0,490,600,670,720,870,1000,1300,1500,2500,2800,2800
PUT,set_key_4,1501,0,520,552.5296469020653,81,2970,245.81745502998,5.01035725189264,0.0,520,620,690,750,890,1000,1300,1600,3000,3000,3000
PUT,set_key_40,1370,0,490,504.03868613138684,79,2812,249.1182481751825,4.573077571680824,0.0,490,600,660,700,820,970,1200,1500,2500,2800,2800
PUT,set_key_41,1446,1,500,521.5629322268327,52,3236,250.10926694329183,4.826766546460199,0.0033380128260443974,500,600,660,700,860,1000,1200,1800,2700,3200,3200
PUT,set_key_42,1407,2,520,529.4456289978679,50,3493,250.00710732054014,4.6965840462444675,0.006676025652088795,520,610,680,720,890,1000,1200,1500,2400,3500,3500
PUT,set_key_43,1405,0,490,512.7430604982206,79,2800,250.66832740213522,4.689908020592378,0.0,490,590,650,700,850,980,1300,1600,2800,2800,2800
PUT,set_key_44,1461,1,520,554.3723477070499,52,2992,250.40930869267626,4.876836738850865,0.0033380128260443974,520,620,700,740,890,1100,1500,1700,2800,3000,3000
PUT,set_key_45,1490,1,500,533.9986577181209,52,3711,249.71946308724833,4.973639110806152,0.0033380128260443974,500,610,680,730,900,1000,1300,1500,2700,3700,3700
PUT,set_key_46,1422,0,500,512.2053445850914,78,2869,250.36146272855134,4.746654238635133,0.0,500,600,670,710,850,990,1100,1300,2000,2900,2900
PUT,set_key_47,1516,0,500,514.9887862796834,80,2738,250.33641160949867,5.060427444283307,0.0,500,600,680,710,860,1000,1200,1500,2500,2700,2700
PUT,set_key_48,1427,0,510,519.0147161878066,80,2371,249.14155571128242,4.763344302765355,0.0,510,600,680,720,850,980,1200,1500,2200,2400,2400
PUT,set_key_49,1466,1,510,533.5825375170532,50,2377,250.33833560709414,4.8935268029810866,0.0033380128260443974,510,610,690,740,890,1000,1200,1500,2300,2400,2400
PUT,set_key_5,1435,0,500,511.49337979094076,80,2932,246.35261324041812,4.79004840537371,0.0,500,600,660,700,840,990,1100,1300,2200,2900,2900
PUT,set_key_50,1555,0,520,553.8263665594856,78,3078,250.57620578778136,5.190609944499038,0.0,520,640,710,760,910,1000,1300,1600,3000,3100,3100
PUT,set_key_51,1446,0,500,521.5034578146611,80,2947,250.3271092669433,4.826766546460199,0.0,500,600,680,720,880,1000,1300,1600,2900,2900,2900
PUT,set_key_52,1446,0,500,526.4958506224067,81,3455,249.25587828492394,4.826766546460199,0.0,500,610,680,720,880,1000,1200,1500,3000,3500,3500
PUT,set_key_53,1383,0,510,528.0144613159797,81,2822,249.32104121475055,4.616471738419402,0.0,510,600,680,720,850,1000,1300,1700,2800,2800,2800
PUT,set_key_54,1505,0,500,511.7142857142857,81,2460,250.83654485049834,5.023709303196818,0.0,500,590,660,700,850,1000,1300,1500,2500,2500,2500
PUT,set_key_55,1459,0,510,521.3954763536669,79,2600,250.32488005483208,4.870160713198776,0.0,510,600,670,710,860,1000,1300,1600,2600,2600,2600
PUT,set_key_56,1384,0,520,551.5130057803468,80,3226,250.65245664739885,4.619809751245446,0.0,520,630,700,740,900,1000,1400,1600,3000,3200,3200
PUT,set_key_57,1433,0,510,534.5750174459176,80,2752,250.7264480111654,4.783372379721621,0.0,510,610,690,740,900,1000,1400,1700,2500,2800,2800
PUT,set_key_58,1410,2,530,546.8560283687943,48,2778,250.2609929078014,4.7065980847226,0.006676025652088795,530,620,700,750,890,1000,1300,1600,2700,2800,2800
PUT,set_key_59,1417,0,520,539.27240649259,84,3351,250.50811573747353,4.729964174504911,0.0,520,620,700,740,900,1000,1200,1500,2700,3400,3400
PUT,set_key_6,1369,1,490,505.43097151205257,52,3029,244.96859021183346,4.56973955885478,0.0033380128260443974,490,580,650,700,840,980,1200,1300,2100,3000,3000
PUT,set_key_60,1490,2,510,521.065100671141,49,2738,248.88657718120805,4.973639110806152,0.006676025652088795,510,600,680,730,870,990,1200,1500,2200,2700,2700
PUT,set_key_61,1428,1,520,546.3760504201681,52,3530,250.4047619047619,4.7666823155913995,0.0033380128260443974,520,620,690,750,890,1000,1300,1500,2600,3500,3500
PUT,set_key_62,1452,2,500,513.6356749311295,50,2533,250.44214876033058,4.846794623416465,0.006676025652088795,500,600,670,710,840,980,1200,1400,2300,2500,2500
PUT,set_key_63,1445,0,500,512.0927335640139,80,2809,249.078892733564,4.8234285336341545,0.0,500,600,680,710,850,980,1200,1300,2300,2800,2800
PUT,set_key_64,1501,0,500,524.9713524317121,79,2613,249.15323117921386,5.01035725189264,0.0,500,610,680,730,890,1000,1300,1600,2600,2600,2600
PUT,set_key_65,1425,0,500,507.7459649122807,80,2388,249.1319298245614,4.756668277113266,0.0,500,590,660,700,860,1000,1300,1500,2100,2400,2400
PUT,set_key_66,1456,0,520,544.8626373626373,86,2758,250.6085164835165,4.860146674720642,0.0,520,620,690,730,880,1000,1200,1600,2600,2800,2800
PUT,set_key_67,1424,0,490,513.0056179775281,83,2968,250.35533707865167,4.7533302642872215,0.0,490,590,660,710,860,990,1200,1500,2200,3000,3000
PUT,set_key_68,1435,0,510,527.1407665505227,81,3201,249.21045296167247,4.79004840537371,0.0,510,610,680,710,880,1000,1200,1600,2600,3200,3200
PUT,set_key_69,1455,0,520,546.7910652920962,82,2618,250.56907216494847,4.856808661894598,0.0,520,630,700,750,910,1000,1200,1500,2500,2600,2600
PUT,set_key_7,1400,0,490,502.71285714285716,81,3705,246.77142857142857,4.673217956462156,0.0,490,590,670,710,860,990,1200,1300,2000,3700,3700
PUT,set_key_70,1487,1,520,547.1466039004707,52,2168,249.6677874915938,4.963625072328019,0.0033380128260443974,520,630,700,750,910,1000,1300,1400,2100,2200,2200
