Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1650826178,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1650826179,50,,Aggregated,0.000000,0.000000,48,48,48,48,48,48,48,48,48,48,48,1,1,48,48.0,48,48,0.0
1650826180,100,,Aggregated,0.000000,0.000000,120,160,210,270,430,1100,1100,1100,1200,1200,1200,388,1,120,215.43556701030928,48,1160,165.54123711340208
1650826181,150,,Aggregated,1.000000,1.000000,180,240,290,320,430,1100,2100,2100,2100,2100,2100,994,1,180,278.0633802816901,48,2122,170.61368209255534
1650826182,200,,Aggregated,10.500000,0.500000,220,290,320,350,430,590,1200,2100,2100,2100,2100,1598,1,220,283.9868585732165,48,2122,174.1839799749687
1650826183,250,,Aggregated,171.333333,0.333333,250,320,360,380,460,590,1100,2100,2100,2100,2100,2363,21,250,293.8027930596699,39,2122,174.46847228099872
1650826184,300,,Aggregated,277.000000,0.250000,270,340,390,420,520,660,910,1300,2100,2100,2100,3160,32,270,310.3965189873418,38,2122,175.375
1650826185,350,,Aggregated,343.000000,4.200000,290,370,420,460,580,710,910,1100,2100,2100,2100,3912,40,290,330.12167689161555,38,2122,175.86196319018404
1650826186,400,,Aggregated,412.666667,5.333333,320,410,490,560,780,910,1100,1200,2100,2100,2100,4618,46,320,384.96210480727586,38,2122,176.518406236466
1650826187,450,,Aggregated,467.428571,5.714286,340,470,520,580,840,960,1100,1200,2100,2100,2100,5093,46,340,410.0058904378559,38,2122,176.83447869624976
1650826188,500,,Aggregated,509.750000,5.750000,380,500,550,620,900,1000,1400,1500,2100,2100,2100,5751,46,380,443.9480090419058,38,2122,176.97669970439924
1650826189,500,,Aggregated,513.111111,5.111111,410,520,590,680,890,1000,1400,1500,2100,2100,2100,6699,46,410,468.99880579190926,38,2122,177.2710852366025
1650826190,500,,Aggregated,511.400000,4.600000,460,530,600,700,920,1000,1300,1500,2100,2100,2100,7589,46,460,483.01937014099354,38,2122,177.33364079588878
1650826191,500,,Aggregated,582.100000,4.500000,460,530,600,670,900,1000,1300,1500,2100,2100,2100,8524,46,460,479.77803847958705,38,2122,177.5439934303144
1650826192,500,,Aggregated,672.400000,4.500000,460,540,600,670,880,1000,1200,1400,2100,2100,2100,9624,46,460,478.29332917705733,38,2122,177.62375311720697
1650826193,500,,Aggregated,713.400000,4.500000,460,540,600,670,870,990,1100,1400,2100,2100,2100,10694,46,460,477.6802880119693,38,2122,178.00364690480643
