Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,1513,0,400,431.0429610046266,78,1268,113.77594183740912,5.059918925005829,0.0,400,490,520,560,680,800,960,1000,1200,1300,1300
GET,/get/key_1,1608,0,410,437.6542288557214,81,2000,114.80348258706468,5.3776269870518,0.0,410,500,530,570,680,780,910,1000,1700,2000,2000
GET,/get/key_10,1521,0,410,428.2741617357002,78,1450,115.81656804733728,5.08667328812549,0.0,410,490,530,570,660,740,870,940,1400,1400,1400
GET,/get/key_100,1540,0,410,427.36948051948053,79,1281,116.8051948051948,5.150214900534683,0.0,410,480,520,560,670,760,880,980,1100,1300,1300
GET,/get/key_11,1540,0,390,418.9590909090909,80,1235,115.80064935064935,5.150214900534683,0.0,390,480,530,560,650,760,940,1000,1200,1200,1200
GET,/get/key_12,1615,0,400,424.4792569659443,79,1502,114.78328173374614,5.4010370547815025,0.0,400,480,520,550,660,750,930,1000,1400,1500,1500
GET,/get/key_13,1525,0,410,436.8767213114754,80,1549,114.76065573770492,5.10005046968532,0.0,410,490,540,570,690,770,930,990,1300,1500,1500
GET,/get/key_14,1614,0,410,423.816604708798,79,1302,115.7905824039653,5.397692759391545,0.0,410,480,520,550,650,740,890,980,1300,1300,1300
GET,/get/key_15,1583,0,400,427.15603284902085,81,1737,114.76942514213519,5.29401960230286,0.0,400,480,530,560,660,760,940,1000,1500,1700,1700
GET,/get/key_16,1561,0,410,433.7194106342088,76,1729,114.77706598334402,5.220445103723793,0.0,410,490,540,570,660,770,910,1000,1400,1700,1700
GET,/get/key_17,1561,0,410,432.3395259449071,80,1460,115.78795643818066,5.220445103723793,0.0,410,490,540,570,660,760,940,1000,1300,1500,1500
GET,/get/key_18,1588,0,420,441.07934508816123,82,1596,115.79534005037783,5.310741079252648,0.0,420,500,540,570,690,790,960,1000,1500,1600,1600
GET,/get/key_19,1587,0,410,428.6502835538752,77,1229,114.76937618147448,5.30739678386269,0.0,410,490,530,560,660,740,910,990,1200,1200,1200
GET,/get/key_2,1542,0,400,422.28728923476007,82,1213,114.81063553826199,5.156903491314599,0.0,400,480,520,550,650,740,880,990,1200,1200,1200
GET,/get/key_20,1591,0,410,428.4198617221873,80,2199,115.81898177247014,5.320773965422521,0.0,410,480,520,550,670,760,910,1000,1400,2200,2200
GET,/get/key_21,1619,0,410,432.30203829524396,82,1277,115.80790611488572,5.414414236341333,0.0,410,490,530,560,670,760,920,1000,1300,1300,1300
GET,/get/key_22,1628,0,410,437.30159705159707,85,1747,115.78931203931204,5.444512894850951,0.0,410,490,540,570,690,800,940,1000,1600,1700,1700
