Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_38,62,0,9200,8869.467741935483,618,10133,114.0,0.20718947062665324,0.0,9200,9300,9500,9500,9700,9800,10000,10000,10000,10000,10000
GET,/get/key_39,84,0,9000,9002.702380952382,1096,14194,114.0,0.2807083150425625,0.0,9000,9200,9300,9500,9700,9900,13000,14000,14000,14000,14000
GET,/get/key_4,78,0,9100,8908.897435897436,2723,13728,112.0,0.26065772111095087,0.0,9100,9200,9300,9400,9600,9900,10000,14000,14000,14000,14000
GET,/get/key_40,76,0,9000,9185.223684210527,3700,14692,114.0,0.25397418980041364,0.0,9000,9300,9400,9500,9700,9900,15000,15000,15000,15000,15000
GET,/get/key_41,84,0,9100,9041.07142857143,2734,14879,114.0,0.2807083150425625,0.0,9100,9200,9300,9400,9600,9800,14000,15000,15000,15000,15000
GET,/get/key_42,71,0,9000,8911.802816901409,1890,12316,114.0,0.23726536152407066,0.0,9000,9200,9300,9400,9600,9800,10000,12000,12000,12000,12000
GET,/get/key_43,76,0,9100,8936.302631578947,2083,9991,114.96052631578948,0.25397418980041364,0.0,9100,9300,9400,9500,9700,9800,9800,10000,10000,10000,10000
GET,/get/key_44,80,0,9100,9262.525,4305,13712,115.0,0.2673412524214881,0.0,9100,9300,9500,9600,10000,11000,13000,14000,14000,14000,14000
GET,/get/key_45,76,0,9000,9084.723684210527,2181,14303,114.0,0.25397418980041364,0.0,9100,9300,9400,9500,9700,10000,13000,14000,14000,14000,14000
GET,/get/key_46,64,0,9100,8951.09375,4303,14459,113.0,0.21387300193719044,0.0,9100,9300,9400,9500,9800,10000,10000,14000,14000,14000,14000
GET,/get/key_47,84,0,9000,8894.797619047618,618,14336,114.98809523809524,0.2807083150425625,0.0,9000,9200,9300,9400,9600,9700,10000,14000,14000,14000,14000
GET,/get/key_48,73,0,9000,8806.068493150686,1062,13280,114.58904109589041,0.24394889283460786,0.0,9000,9300,9300,9300,9600,9800,9900,13000,13000,13000,13000
GET,/get/key_49,60,0,9100,8857.483333333334,2812,10291,113.0,0.20050593931611604,0.0,9100,9300,9500,9500,10000,10000,10000,10000,10000,10000,10000
GET,/get/key_5,78,0,9100,9052.884615384615,4697,13784,114.0,0.26065772111095087,0.0,9100,9400,9500,9500,9600,9900,10000,14000,14000,14000,14000
GET,/get/key_50,86,0,9000,9001.918604651162,4244,13902,114.96511627906976,0.28739184635309967,0.0,9000,9300,9500,9600,9900,9900,13000,14000,14000,14000,14000
GET,/get/key_51,84,0,9100,9053.654761904761,1073,13791,114.0,0.2807083150425625,0.0,9100,9300,9400,9500,9800,9900,13000,14000,14000,14000,14000
GET,/get/key_52,71,0,9100,9058.69014084507,2091,18197,114.0,0.23726536152407066,0.0,9100,9300,9500,9500,9600,10000,13000,18000,18000,18000,18000
GET,/get/key_53,78,0,9100,8968.705128205129,4597,14152,114.98717948717949,0.26065772111095087,0.0,9100,9200,9400,9500,9600,9800,10000,14000,14000,14000,14000
GET,/get/key_54,61,0,9000,8809.688524590163,3565,13083,114.0,0.20384770497138466,0.0,9000,9100,9300,9300,9500,9700,11000,13000,13000,13000,13000
GET,/get/key_55,75,0,9000,9004.413333333334,4598,13622,113.0,0.2506324241451451,0.0,9000,9200,9300,9400,9700,9900,13000,14000,14000,14000,14000
GET,/get/key_56,71,0,9000,8636.661971830987,1099,10205,114.0,0.23726536152407066,0.0,9000,9300,9400,9400,9500,9800,9800,10000,10000,10000,10000
GET,/get/key_57,78,0,9000,8716.846153846154,182,14081,113.0,0.26065772111095087,0.0,9000,9200,9300,9500,9900,13000,13000,14000,14000,14000,14000
GET,/get/key_58,75,0,9000,8885.72,1284,13081,113.0,0.2506324241451451,0.0,9000,9200,9300,9400,9700,9900,13000,13000,13000,13000,13000
GET,/get/key_59,81,0,9100,8744.37037037037,1006,13823,113.0,0.27068301807675665,0.0,9100,9300,9400,9500,9700,9800,13000,14000,14000,14000,14000
GET,/get/key_6,75,0,9100,8821.546666666667,1861,13439,113.93333333333334,0.2506324241451451,0.0,9100,9200,9400,9400,9700,9700,9800,13000,13000,13000,13000
GET,/get/key_60,86,0,9000,9012.127906976744,5097,13494,114.0,0.28739184635309967,0.0,9000,9200,9400,9400,9700,9800,10000,13000,13000,13000,13000
GET,/get/key_61,78,0,9100,9083.076923076924,4139,12521,114.0,0.26065772111095087,0.0,9100,9300,9400,9500,9700,9900,10000,13000,13000,13000,13000
GET,/get/key_62,84,0,9000,8600.47619047619,610,14094,114.0,0.2807083150425625,0.0,9000,9300,9500,9600,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_63,82,0,9000,8896.414634146342,427,13377,113.0,0.27402478373202527,0.0,9000,9200,9400,9500,9700,10000,11000,13000,13000,13000,13000
GET,/get/key_64,86,0,9000,8779.476744186046,1931,14068,114.0,0.28739184635309967,0.0,9000,9200,9300,9300,9700,9800,10000,14000,14000,14000,14000
GET,/get/key_65,83,0,8900,8479.084337349397,594,10298,115.0,0.2773665493872939,0.0,8900,9100,9300,9400,9600,9700,9800,10000,10000,10000,10000
GET,/get/key_66,62,0,9100,8926.08064516129,3241,13692,115.0,0.20718947062665324,0.0,9100,9300,9400,9500,9900,10000,14000,14000,14000,14000,14000
GET,/get/key_67,78,0,9000,8996.935897435897,1105,14118,114.0,0.26065772111095087,0.0,9000,9200,9300,9400,9600,9900,10000,14000,14000,14000,14000
GET,/get/key_68,81,0,9100,8926.728395061727,613,10295,114.0,0.27068301807675665,0.0,9100,9300,9400,9500,9800,9900,10000,10000,10000,10000,10000
GET,/get/key_69,82,0,9100,9036.024390243903,2259,14271,114.0,0.27402478373202527,0.0,9100,9300,9400,9500,9600,9800,10000,14000,14000,14000,14000
GET,/get/key_7,92,0,9100,9234.054347826086,4604,14078,113.6086956521739,0.3074424402847113,0.0,9100,9400,9600,9700,10000,13000,14000,14000,14000,14000,14000
GET,/get/key_70,84,0,9000,8906.630952380952,2610,13032,114.96428571428571,0.2807083150425625,0.0,9000,9100,9400,9500,9700,9800,13000,13000,13000,13000,13000
GET,/get/key_71,72,0,9100,8996.75,3000,13041,113.0,0.24060712717933927,0.0,9100,9400,9600,9600,9800,10000,11000,13000,13000,13000,13000
GET,/get/key_72,86,0,9100,9070.918604651162,3002,13403,115.0,0.28739184635309967,0.0,9100,9300,9400,9500,9700,10000,10000,13000,13000,13000,13000
GET,/get/key_73,76,0,9100,8946.078947368422,438,13100,114.0,0.25397418980041364,0.0,9100,9200,9500,9500,9700,10000,10000,13000,13000,13000,13000
GET,/get/key_74,83,0,9000,8766.650602409638,630,14218,114.96385542168674,0.2773665493872939,0.0,9000,9200,9400,9500,9600,9800,10000,14000,14000,14000,14000
GET,/get/key_75,86,0,9000,8834.418604651162,1059,13787,114.95348837209302,0.28739184635309967,0.0,9000,9200,9400,9400,10000,10000,13000,14000,14000,14000,14000
GET,/get/key_76,73,0,9000,8819.835616438357,2430,14392,114.0,0.24394889283460786,0.0,9000,9200,9400,9400,9700,9900,10000,14000,14000,14000,14000
GET,/get/key_77,64,0,9100,9180.25,8038,14360,114.71875,0.21387300193719044,0.0,9100,9200,9300,9500,9700,9800,11000,14000,14000,14000,14000
GET,/get/key_78,71,0,9000,8884.394366197183,4190,10188,115.0,0.23726536152407066,0.0,9000,9100,9200,9400,9700,9900,10000,10000,10000,10000,10000
GET,/get/key_79,84,0,9000,9120.369047619048,4189,13695,115.0,0.2807083150425625,0.0,9000,9200,9400,9500,9600,10000,14000,14000,14000,14000,14000
GET,/get/key_8,74,0,9100,9177.405405405405,1017,18898,113.54054054054055,0.24729065848987647,0.0,9100,9400,9500,9500,9900,10000,14000,19000,19000,19000,19000
GET,/get/key_80,82,0,9000,9007.621951219513,3924,13803,113.0,0.27402478373202527,0.0,9000,9200,9400,9500,9700,9700,10000,14000,14000,14000,14000
GET,/get/key_81,71,0,9000,8759.507042253521,612,14007,114.94366197183099,0.23726536152407066,0.0,9000,9100,9400,9500,9700,10000,10000,14000,14000,14000,14000
GET,/get/key_82,77,0,8900,8569.493506493507,647,9786,113.0,0.25731595545568225,0.0,8900,9100,9200,9300,9500,9600,9700,9800,9800,9800,9800
GET,/get/key_83,75,0,9100,8927.613333333333,3876,13648,114.58666666666667,0.2506324241451451,0.0,9100,9300,9400,9400,9700,9900,13000,14000,14000,14000,14000
GET,/get/key_84,90,0,9100,9099.066666666668,2734,13293,114.0,0.30075890897417407,0.0,9100,9300,9400,9400,9700,9900,13000,13000,13000,13000,13000
GET,/get/key_85,81,0,9000,8782.185185185184,1059,12411,114.0,0.27068301807675665,0.0,9000,9100,9200,9300,9600,9800,10000,12000,12000,12000,12000
GET,/get/key_86,74,0,9100,9116.405405405405,2733,13686,114.0,0.24729065848987647,0.0,9100,9400,9600,9700,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_87,75,0,9000,8812.72,2480,13501,114.0,0.2506324241451451,0.0,9000,9300,9500,9500,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_88,72,0,8900,8796.972222222223,4159,10104,114.0,0.24060712717933927,0.0,9000,9200,9400,9400,9600,9800,9900,10000,10000,10000,10000
GET,/get/key_89,73,0,9000,9053.0,6909,13699,114.97260273972603,0.24394889283460786,0.0,9000,9200,9400,9400,9600,9700,9900,14000,14000,14000,14000
GET,/get/key_9,74,0,9000,8959.648648648648,3195,13505,113.0,0.24729065848987647,0.0,9000,9200,9300,9400,9600,9900,13000,14000,14000,14000,14000
GET,/get/key_90,90,0,9000,8938.233333333334,3268,13094,114.9888888888889,0.30075890897417407,0.0,9100,9300,9400,9400,9600,9800,9900,13000,13000,13000,13000
GET,/get/key_91,85,0,9200,9276.423529411764,4471,14496,114.61176470588235,0.28405008069783105,0.0,9200,9300,9400,9500,9700,10000,13000,14000,14000,14000,14000
GET,/get/key_92,76,0,9100,8828.28947368421,1060,13599,114.0,0.25397418980041364,0.0,9100,9300,9400,9400,9500,9700,10000,14000,14000,14000,14000
GET,/get/key_93,83,0,9100,9067.313253012047,2085,13602,114.0,0.2773665493872939,0.0,9100,9300,9500,9500,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_94,74,0,9100,8993.148648648648,1058,13793,114.97297297297297,0.24729065848987647,0.0,9100,9200,9400,9500,9700,9800,13000,14000,14000,14000,14000
GET,/get/key_95,90,0,8900,8539.855555555556,147,10322,114.0,0.30075890897417407,0.0,9000,9100,9200,9300,9600,9800,9800,10000,10000,10000,10000
GET,/get/key_96,70,0,8900,8573.528571428571,2090,10314,115.0,0.23392359586880207,0.0,8900,9000,9100,9200,9600,9700,10000,10000,10000,10000,10000
GET,/get/key_97,77,0,9100,9104.766233766233,4718,13994,114.64935064935065,0.25731595545568225,0.0,9100,9300,9500,9600,9900,10000,13000,14000,14000,14000,14000
GET,/get/key_98,77,0,9100,8895.714285714286,3116,13612,114.0,0.25731595545568225,0.0,9100,9300,9400,9500,9600,9700,13000,14000,14000,14000,14000
GET,/get/key_99,80,0,9000,8813.2875,546,14111,113.0,0.2673412524214881,0.0,9000,9200,9200,9400,9800,13000,14000,14000,14000,14000,14000
PUT,set_key_0,86,0,9000,9017.058139534884,631,14188,243.80232558139534,0.28739184635309967,0.0,9000,9200,9300,9500,9800,10000,14000,14000,14000,14000,14000
PUT,set_key_1,116,0,9100,9105.870689655172,1131,13715,243.83620689655172,0.3876448160111577,0.0,9100,9400,9600,9600,9900,11000,12000,13000,14000,14000,14000
PUT,set_key_10,81,0,9100,9332.024691358025,3838,14944,247.92592592592592,0.27068301807675665,0.0,9100,9300,9500,9500,9800,11000,15000,15000,15000,15000,15000
PUT,set_key_100,82,0,9000,8794.536585365853,147,19491,250.90243902439025,0.27402478373202527,0.0,9000,9200,9400,9500,9900,10000,14000,19000,19000,19000,19000
PUT,set_key_11,87,0,9100,9021.137931034482,3490,13841,248.51724137931035,0.2907336120083683,0.0,9100,9300,9500,9600,9800,10000,13000,14000,14000,14000,14000
PUT,set_key_12,76,0,9100,9256.236842105263,1618,20501,248.6578947368421,0.25397418980041364,0.0,9200,9400,9500,9600,9900,13000,17000,21000,21000,21000,21000
PUT,set_key_13,72,0,9100,8921.555555555555,1044,13342,246.80555555555554,0.24060712717933927,0.0,9100,9200,9300,9300,9700,10000,13000,13000,13000,13000,13000
PUT,set_key_14,74,0,9000,8925.22972972973,949,20499,247.94594594594594,0.24729065848987647,0.0,9100,9200,9400,9600,9700,10000,10000,20000,20000,20000,20000
PUT,set_key_15,68,0,9200,9309.279411764706,8011,14209,247.7941176470588,0.22724006455826487,0.0,9200,9400,9600,9700,9900,10000,11000,14000,14000,14000,14000
PUT,set_key_16,98,0,9100,9138.530612244898,2611,19479,247.81632653061226,0.32749303421632286,0.0,9100,9300,9400,9400,9900,11000,17000,19000,19000,19000,19000
PUT,set_key_17,73,0,9200,8754.835616438357,2086,13315,248.4794520547945,0.24394889283460786,0.0,9200,9300,9400,9500,9800,9900,13000,13000,13000,13000,13000
PUT,set_key_18,84,0,9000,8827.964285714286,1069,17044,248.42857142857142,0.2807083150425625,0.0,9000,9200,9300,9400,9700,11000,13000,17000,17000,17000,17000
PUT,set_key_19,93,0,9000,9075.752688172042,914,21403,248.50537634408602,0.31078420593997985,0.0,9000,9100,9400,9400,9900,13000,18000,21000,21000,21000,21000
PUT,set_key_2,68,0,9100,9194.132352941177,3133,17172,244.89705882352942,0.22724006455826487,0.0,9100,9200,9500,9600,9900,12000,13000,17000,17000,17000,17000
PUT,set_key_20,93,0,9100,8558.440860215054,193,21562,247.80645161290323,0.31078420593997985,0.0,9100,9200,9400,9600,9900,10000,14000,22000,22000,22000,22000
PUT,set_key_21,74,0,9000,9067.743243243243,4300,13889,247.66216216216216,0.24729065848987647,0.0,9100,9300,9500,9700,9800,10000,14000,14000,14000,14000,14000
PUT,set_key_22,75,0,9100,9259.826666666666,2621,20499,247.84,0.2506324241451451,0.0,9100,9300,9400,9600,9700,12000,18000,20000,20000,20000,20000
PUT,set_key_23,69,0,9100,9182.36231884058,4607,13412,248.8840579710145,0.23058183021353346,0.0,9100,9300,9400,9400,9600,10000,13000,13000,13000,13000,13000
PUT,set_key_24,85,0,9000,8878.517647058823,1098,16098,247.76470588235293,0.28405008069783105,0.0,9000,9200,9400,9400,9700,9900,15000,16000,16000,16000,16000
