Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,368,0,1900,1863.0869565217392,108,3321,114.0,1.2301750560217406,0.0,1900,2100,2100,2200,2300,2400,2600,3100,3300,3300,3300
GET,/get/key_1,345,0,2000,1905.0463768115942,202,3217,112.0,1.153289115020382,0.0,2000,2100,2100,2200,2400,2600,2900,3000,3200,3200,3200
GET,/get/key_10,365,0,2000,1903.490410958904,307,3909,114.0,1.2201464550215633,0.0,2000,2100,2100,2200,2400,2600,2900,3300,3900,3900,3900
GET,/get/key_100,370,0,2000,1916.6378378378379,94,3786,115.0,1.2368607900218587,0.0,2000,2100,2200,2200,2400,2700,3100,3200,3800,3800,3800
GET,/get/key_11,356,0,1900,1879.7612359550562,309,3406,114.0,1.1900606520210317,0.0,1900,2100,2100,2200,2300,2600,2800,3100,3400,3400,3400
GET,/get/key_12,356,0,1900,1921.1488764044943,193,3149,115.0,1.1900606520210317,0.0,2000,2100,2200,2200,2400,2600,2900,3000,3100,3100,3100
GET,/get/key_13,369,0,1900,1851.79945799458,203,3427,114.0,1.2335179230217996,0.0,1900,2000,2100,2200,2300,2600,2900,3100,3400,3400,3400
GET,/get/key_14,419,0,1900,1870.2649164677805,116,3609,114.0,1.4006612730247536,0.0,1900,2000,2100,2200,2300,2400,2800,3300,3600,3600,3600
GET,/get/key_15,370,0,2000,1931.8027027027026,364,3340,115.0,1.2368607900218587,0.0,2000,2100,2200,2200,2400,2700,3100,3200,3300,3300,3300
GET,/get/key_16,375,0,2000,1933.16,200,5783,114.0,1.253575125022154,0.0,2000,2100,2200,2200,2400,2700,3000,3200,5800,5800,5800
GET,/get/key_17,393,0,1900,1888.1908396946565,118,3298,115.0,1.3137467310232176,0.0,1900,2100,2200,2200,2300,2500,3000,3000,3300,3300,3300
GET,/get/key_18,363,0,1900,1857.3305785123966,171,3481,115.0,1.2134607210214452,0.0,1900,2100,2100,2200,2300,2500,2800,3000,3500,3500,3500
GET,/get/key_19,381,0,2000,1905.5091863517061,205,3629,115.0,1.2736323270225087,0.0,2000,2100,2200,2200,2400,2600,3000,3200,3600,3600,3600
GET,/get/key_2,338,0,1900,1877.6094674556214,171,3365,114.0,1.1298890460199682,0.0,1900,2100,2100,2200,2400,2700,3000,3100,3400,3400,3400
